=== RESULTADOS DE BENCHMARK ===
Formato: [Algoritmo] [Archivo] -> Tiempo (ms) | Memoria (KB)
selection 100000_descendente_D7_a.txt -> 7312.017344 ms | 390 KB
selection 100000_descendente_D7_b.txt -> 7201.253386 ms | 390 KB
selection 100000_descendente_D7_c.txt -> 7251.069550 ms | 390 KB
selection 1000_aleatorio_D1_a.txt -> 0.727322 ms | 3 KB
selection 1000_aleatorio_D1_b.txt -> 0.704284 ms | 3 KB
selection 1000_aleatorio_D1_c.txt -> 0.697376 ms | 3 KB
selection 1000_aleatorio_D7_a.txt -> 0.706321 ms | 3 KB
selection 1000_aleatorio_D7_b.txt -> 0.702029 ms | 3 KB
selection 1000_aleatorio_D7_c.txt -> 0.718188 ms | 3 KB
selection 1000_ascendente_D1_a.txt -> 0.690136 ms | 3 KB
selection 1000_ascendente_D1_b.txt -> 0.683536 ms | 3 KB
selection 1000_ascendente_D1_c.txt -> 0.690199 ms | 3 KB
selection 1000_ascendente_D7_a.txt -> 0.683544 ms | 3 KB
selection 1000_ascendente_D7_b.txt -> 0.690361 ms | 3 KB
selection 1000_ascendente_D7_c.txt -> 0.683544 ms | 3 KB
selection 1000_descendente_D1_a.txt -> 0.703598 ms | 3 KB
selection 1000_descendente_D1_b.txt -> 0.717881 ms | 3 KB
selection 1000_descendente_D1_c.txt -> 0.703463 ms | 3 KB
selection 1000_descendente_D7_a.txt -> 0.697241 ms | 3 KB
selection 1000_descendente_D7_b.txt -> 0.705086 ms | 3 KB
selection 1000_descendente_D7_c.txt -> 0.700144 ms | 3 KB
selection 10_aleatorio_D1_a.txt -> 0.000297 ms | 0 KB
selection 10_aleatorio_D1_b.txt -> 0.000316 ms | 0 KB
selection 10_aleatorio_D1_c.txt -> 0.000298 ms | 0 KB
selection 10_aleatorio_D7_a.txt -> 0.000306 ms | 0 KB
selection 10_aleatorio_D7_b.txt -> 0.000297 ms | 0 KB
selection 10_aleatorio_D7_c.txt -> 0.000315 ms | 0 KB
selection 10_ascendente_D1_a.txt -> 0.000253 ms | 0 KB
selection 10_ascendente_D1_b.txt -> 0.000279 ms | 0 KB
selection 10_ascendente_D1_c.txt -> 0.000235 ms | 0 KB
selection 10_ascendente_D7_a.txt -> 0.000252 ms | 0 KB
selection 10_ascendente_D7_b.txt -> 0.000243 ms | 0 KB
selection 10_ascendente_D7_c.txt -> 0.000244 ms | 0 KB
selection 10_descendente_D1_a.txt -> 0.000298 ms | 0 KB
selection 10_descendente_D1_b.txt -> 0.000280 ms | 0 KB
selection 10_descendente_D1_c.txt -> 0.000279 ms | 0 KB
selection 10_descendente_D7_a.txt -> 0.000306 ms | 0 KB
selection 10_descendente_D7_b.txt -> 0.000289 ms | 0 KB
selection 10_descendente_D7_c.txt -> 0.000297 ms | 0 KB

---- sort ----
sort 100000_aleatorio_D1_a.txt -> 1.396935 ms | 0 KB
sort 100000_aleatorio_D1_b.txt -> 1.351832 ms | 0 KB
sort 100000_aleatorio_D1_c.txt -> 1.369893 ms | 0 KB
sort 100000_aleatorio_D7_a.txt -> 3.676543 ms | 0 KB
sort 100000_aleatorio_D7_b.txt -> 3.641449 ms | 0 KB
sort 100000_aleatorio_D7_c.txt -> 3.636977 ms | 0 KB
sort 100000_ascendente_D1_a.txt -> 0.551357 ms | 0 KB
sort 100000_ascendente_D1_b.txt -> 0.544693 ms | 0 KB
sort 100000_ascendente_D1_c.txt -> 0.563565 ms | 0 KB
sort 100000_ascendente_D7_a.txt -> 0.597442 ms | 0 KB
sort 100000_ascendente_D7_b.txt -> 0.611112 ms | 0 KB
sort 100000_ascendente_D7_c.txt -> 0.625195 ms | 0 KB
sort 100000_descendente_D1_a.txt -> 0.555568 ms | 0 KB
sort 100000_descendente_D1_b.txt -> 0.561555 ms | 0 KB
sort 100000_descendente_D1_c.txt -> 0.554269 ms | 0 KB
sort 100000_descendente_D7_a.txt -> 0.483278 ms | 0 KB
sort 100000_descendente_D7_b.txt -> 0.495353 ms | 0 KB
sort 100000_descendente_D7_c.txt -> 0.515794 ms | 0 KB
sort 1000_aleatorio_D1_a.txt -> 0.013940 ms | 0 KB
sort 1000_aleatorio_D1_b.txt -> 0.012768 ms | 0 KB
sort 1000_aleatorio_D1_c.txt -> 0.013102 ms | 0 KB
sort 1000_aleatorio_D7_a.txt -> 0.024283 ms | 0 KB
sort 1000_aleatorio_D7_b.txt -> 0.023958 ms | 0 KB
sort 1000_aleatorio_D7_c.txt -> 0.023426 ms | 0 KB
sort 1000_ascendente_D1_a.txt -> 0.004923 ms | 0 KB
sort 1000_ascendente_D1_b.txt -> 0.005004 ms | 0 KB
sort 1000_ascendente_D1_c.txt -> 0.004707 ms | 0 KB
sort 1000_ascendente_D7_a.txt -> 0.004418 ms | 0 KB
sort 1000_ascendente_D7_b.txt -> 0.003976 ms | 0 KB
sort 1000_ascendente_D7_c.txt -> 0.004499 ms | 0 KB
sort 1000_descendente_D1_a.txt -> 0.004581 ms | 0 KB
sort 1000_descendente_D1_b.txt -> 0.004680 ms | 0 KB
sort 1000_descendente_D1_c.txt -> 0.004950 ms | 0 KB
sort 1000_descendente_D7_a.txt -> 0.003606 ms | 0 KB
sort 1000_descendente_D7_b.txt -> 0.003607 ms | 0 KB
sort 1000_descendente_D7_c.txt -> 0.003426 ms | 0 KB
sort 10_aleatorio_D1_a.txt -> 0.000343 ms | 0 KB
sort 10_aleatorio_D1_b.txt -> 0.000387 ms | 0 KB
sort 10_aleatorio_D1_c.txt -> 0.000361 ms | 0 KB
sort 10_aleatorio_D7_a.txt -> 0.000343 ms | 0 KB
sort 10_aleatorio_D7_b.txt -> 0.000343 ms | 0 KB
sort 10_aleatorio_D7_c.txt -> 0.000360 ms | 0 KB
sort 10_ascendente_D1_a.txt -> 0.000261 ms | 0 KB
sort 10_ascendente_D1_b.txt -> 0.000270 ms | 0 KB
sort 10_ascendente_D1_c.txt -> 0.000252 ms | 0 KB
sort 10_ascendente_D7_a.txt -> 0.000288 ms | 0 KB
sort 10_ascendente_D7_b.txt -> 0.000270 ms | 0 KB
sort 10_ascendente_D7_c.txt -> 0.000261 ms | 0 KB
sort 10_descendente_D1_a.txt -> 0.000333 ms | 0 KB
sort 10_descendente_D1_b.txt -> 0.000343 ms | 0 KB
sort 10_descendente_D1_c.txt -> 0.000369 ms | 0 KB
sort 10_descendente_D7_a.txt -> 0.000325 ms | 0 KB
sort 10_descendente_D7_b.txt -> 0.000316 ms | 0 KB
sort 10_descendente_D7_c.txt -> 0.000306 ms | 0 KB

=== FIN DE RESULTADOS ===
Generado el: Apr 27 2025 11:10:06
